SYMBOL,PERCENTAGE
XBI,1.00%
ORG,1.00%
FIW,1.00%
PZD,1.00%
TAN,2.00%
FHLC,1.00%
LIT,1.00%
IGM,14.00%
XHE,15.00%
CVMIX,3.00%
SCHH,10.00%
VNQI,2.00%
SDG,2.00%
CHGX,14.00%
BGRN,21.00%
MSFT,7.00%
NYT,4.00%
CASH,0.00%
